name,lat,lng,url
Weinlehrpfad Bergkreuz,48.087017,7.917693,http://lh3.ggpht.com/S4PWrBvU0MrjjfKj66PLagBZVNX6rnzQ6Z4TDSrvsrpTCQ2uFsMRGgXNvDBahwQ2FmaZyP_gQp9TbPAtndeaLhsmMVGDgcItj6D-QgVQuWyffvSq
Mühlenrad,48.080735,7.919023,http://lh3.ggpht.com/-Dr6z3OJ8k82Nyrwr1snpPdbbHZzhJCmKkXd_JFgNOLdn7W1JKa2i5g0qKrOuUrDLdyDM9gQVfkI-k1IO_g
Weinlehrpfad Geschichte,48.087543,7.910838,http://lh5.ggpht.com/YRr2NDTHcPmvdrKgNEwAWdYiWrYtKpvWYDqBeSkGu1Vj7SmppTfflAnbd-EsD-3uqcsxwLX-wNJ20QqLPV7G
Heldenstatue,48.082695,7.916515,http://lh4.ggpht.com/jiKmIIHLsyvPmiuLT6ZAMrtSkkBXPPvqMXL4rqAzgbQ9uin2ERdZACZEonoK2zpRg1ejtPltUYv5yIJIPgrr
Weinlehrpfad - Trockenmauern,48.086569,7.919138,http://lh3.googleusercontent.com/hx5w3nc6EcpAyOka2mTr22NrmPdn4NZSVnXBob-p6NnRNSQ_uA1_eZK8Kp68Afw2sjiTJUk4NFyVJ9qcDVN7gQ
Öffentliche Wasserversorgungsanlage,48.076102,7.889219,http://lh5.ggpht.com/rjlSN7vyBXYOs72LFD0mZrMdGfY6niwj5N4aDF113dJOjfiqohW_v-ezM4L2B-Ao7ReCPt5tZWPRLeURICzn
Kirche OBERREUTE,48.083196,7.82147,http://lh3.ggpht.com/Bg5J2OuxQWDbbJXn1vdeiJ9KEITtAHc-nrJ4dvWp3NXgQKWaz38vCZYFHXTD67C8hZtC0JVv7dMfOhfvt9F6
Dorfbrunnen,48.081693,7.824124,http://lh5.ggpht.com/CrKGBvh0xVIJXQMQtT97sDf-PiV833p6NdiPA-URk8MxPrjwQj03skkfmGXkaehvvkDvGK2AUUodsLQGpdM
Kirche Kollmarsreute,48.10092,7.876988,http://lh3.ggpht.com/hEl5HioJSO5IkExCFDNZ_J8kEjQ1qBAazt70Gvq_-ZVl0Wpb1H-Uo4jvoOcWVvImXY4ER1kgoM6CByeNe6q6Wxcmqj9-wdP4dBYOtcLTrpiKO1MQ
Altes Rathaus Kollmarsreute,48.101198,7.881869,http://lh3.googleusercontent.com/KTSwH0NCmJTWlRvmMIokVzpQnf7d5f4UAsfbBGleUGSL5jAItSuBzAXXqTjMeFFccWjZAqWiIN2Kw9xO9A0Uug
Freiwillige Feuerwehr,48.101798,7.879401,http://lh6.ggpht.com/gQPTfhv9d0dOrnpstYilstUbbAKyeBjrZsLYmJNSQ-1tfg26SZdgRJGUjcEmqMIgPfSSMHVwHATICxZQ8czgq6L3xEw97SqBaCIffB9kwBYror0
Spielplatz Kollmarsreute,48.100919,7.875622,http://lh3.googleusercontent.com/eqZEhcCW23eNYnJkfgPbE8ixLdAZpVVzzcO2SQewUKQ-Zhv_kt9nqQw1m1-iqdJhalfDo9664gT7oWTCsgui7g
Alte Arbeitsgeräte,48.101521,7.880278,http://lh3.googleusercontent.com/BCtyRiIO-9KYohyUy3p0-oekBBa2wz-82hmttRRxcxp2RX6TZdeTLPzZ2sBCp9_AiWZW58YCrQrojTFKrD61
Wassertretanlage,48.10381,7.905175,http://lh4.ggpht.com/TNC3ThdaUvW8Obus1ZR9pcOaIvlgJqSLaIPdEnjPYEaKEjh21PysnBp-jRmwwvXRRPRI79b12Q56y4R5HXs
Abortschacht (Ruine Hochburg),48.100533,7.89348,http://lh3.ggpht.com/xdjIQahg1B-OUMzwdGhmWKOc-QvDK_osDQLSCOq1zbPfrG--mtb95CJErVj2wvTcTNAEXWwWEqPJuGvOBBvCCYkWYRcFd4eO4BkXEH-u_5aH0aWe
Bahnhof Kollmarsreute,48.098346,7.886909,http://lh6.ggpht.com/ycq6PyFVAs1L9ONEyCfT_WnLr_bzADcXljxhcjsL637Sv6K8COuYYCXp6tVY3iZC52H_p0vOMMwfFpQY0D5Hrr7mAWwg5F7EXzZ4B7JCHNibEhjOjQ
Wegweiser,48.096239,7.896552,http://lh4.ggpht.com/JWm1HOOj5rNI03XFyPj58yYn__KnxZj1woIPOFbPSZunWo5w8qljg_j3GtAEXo4XLtdVqV7kmYAq4js2umwI
Fit for fun and free,48.098835,7.861167,http://lh3.googleusercontent.com/TbjB2aFWRuT--T7lzH7dsXET5FV1OK8Yy8PeXlrrTC0X_S_OQz7g5vxh97j4vEb1I42rBKCDJeWI_eIrs18Z
Neubau des Wassermer Wehres 1921,48.09914,7.859229,http://lh3.googleusercontent.com/TnYpl1gPnfJe8xAcOK_4cBAXCVHqBgTCu0CbfKnGxMeyEj3tHAELQ58fqx7gK265SKBwGwJPMdokGdAATgFm
Abenteuer Spielplatz Wasser,48.096842,7.859872,http://lh3.googleusercontent.com/9t6e27pe1wOY4uarLVouoiJvxBC6F_eabKoSiG_23nhkfTvVoymGINuXNGXqqgLFA7rl8zuWao7GcbVDAcMs
Findling bei Reute,48.089318,7.832719,http://lh3.googleusercontent.com/C6p87X1uufU8hJ1v0jwcLan9qmn6UkKdX3fhPYakLDGSIJU2F_2zaS0JY4W20deafq2b2m8UvEMsSvqQMjDZ
Die Botanik der Rebe - Weinlehrpfad Waldkirch-Buchholz,48.09087,7.907392,http://lh4.ggpht.com/o-pLWC6MG8XVeo42mxAPNh6X7qAjuLcZ6f7HHvOfuhQ-xy8i9k4TAIs18MJFl-HO9ONi9MsBFtJmwRNTDnk
Alte Traubenpresse/WG,48.09207,7.785652,http://lh3.googleusercontent.com/xSCbU3j4MbjIZoY7ew7mjk0zcmdOoCAAwno7PVezGmTBI3xPLcKYSYjuDqEJZp0DDBNjxkh9k8fQ1Nuyy7Ne
Gipfelkreuz,48.080398,7.778391,http://lh5.ggpht.com/-aVUnab3TbCdB8wzAPnGcKB2lvMiSgXst3ls5TL6wCRfk7Xg5-AceFC5OO8tWvNw8D1TDUlso0CH3vHQbfDE
Blick über den Marchhügel,48.087021,7.779639,http://lh4.ggpht.com/FaXBV835cq-v1pAj3-jnTvUPJ_s1DU0M7v4t19cHDr_s00IzIpSvPHDhvBxHWwNlNn33V2_eyj_mPuB4qFA
Brunnen Der Konversation,48.094274,7.729766,http://lh3.ggpht.com/cx3IccWR_tVBrjFc0on9IDXhVcvNIN81BcPCQHKIgK93FalS6-3-VHFwAslXyWXaGWNuKlvBtPz6pK1eEnRD
Ehre Die Scholle,48.095093,7.734408,http://lh5.ggpht.com/eoT-0RYqyCVNjMuurC_IhnmfPcu9CJkcWc0VFgrNpF9oYbaVFxn4vVXK2RuZRlmzt28X4UmpSU1UJOMcp6M
Totem,48.118702,7.853227,http://lh5.ggpht.com/DG148swwTPcB1Y7HaV-zHoQ0K0i8FGDI5nArk12R2Ej_1nByWDEV-GR0iRzO2k2ayVtOB_EHZzvaRAWK7tsm
Evangelische Kirche Windenreute,48.116492,7.882386,http://lh6.ggpht.com/wkusad_DiR7m6bR8EcOfBNY69TFUM5iP5PE8_kWT0MKloh_o2BU4YiftU5Qqpm255iewdSNQimpVMpktJgY
Eichbergturm,48.133404,7.865876,http://lh3.ggpht.com/qUICsy2JaijXPxNPDAHk7Sw3E7TaGGlrPzhc-E4BHi0w14q_EzsgSzj-WK9URWmTFlKa9ZkYY8WIDWiLEUcJSp5MQQEZyA8hOk386bfZ8LVpSccS6w
Ballons,48.104232,7.868293,http://lh3.googleusercontent.com/CaAm4dnbynfEsVqgHx_x6W9-FbB3qneIn-eQgCNPa8ZqaOqE-Lmwg0rNUMhImoTAzE2bR9OlDasY0y4nUaWEFQ
Stone Face,48.105446,7.86571,http://lh3.googleusercontent.com/ih7KpTlt6-ADWDU9fhCa_pEMWrFm8fgJRsRElT_N1t0PtVCXm8bbqXQ1HNSIcmXVblJS5xcR2AChp7qlnUEN
Die Beobachter,48.10639,7.864663,http://lh3.googleusercontent.com/-2iCSvD1Sz1mlsswXRJDXCPkzcYcBzOPUfYlcPvZ6PizLRlCHWF40u0ntigmWjQfDyM_3HFChz2F7ENmB4df
